Insect moves to Transix,insectMovesToTransix
Insect moves to Magmox,insectMovesToMagmox
Insect moves to Mantleon,insectMovesToMantleon
Insect moves to Orogenix,insectMovesToOrogenix
Insect can’t move due to other Insect,insectCantMoveOccupied
Insect can’t move due to missing connection,insectCantMoveNoConnection
Insect chew,insectChewsMycelium
Insect can’t chew,insectCantChewMycelium
Insect eat Hypahra spore,insectEatHypahraSpore
Hyphara loses effect,hypharaLosesEffect
Insect eat Gilledon spore,insectEatsGilledonSpore
Gilledon loses effect,gilledonLosesEffect
Insect eat Poralia spore,insectEatsPoraliaSpore
Poralia loses effect,poraliaLosesEffect
Insect eat Capulon spore,insectEatCapulonSpore
Capulon loses effect,capulonLosesEffect
Insect eats spore on Orogenix,insectEatsSporeOnOrogenix
Initialize starting tectons,initializeStartingTectons
Break Tecton apart without Insect or Mushroombody,breakTectonApartWithoutInsectOrMushroomBody
Break Tecton apart with Insect,breakTectonApartWithInsect
Break Tecton apart with MushroomBody,breakTectonApartWithMushroomBody
Break Tecton apart with Insect and MushroomBody,breakTectonApartWithInsectAndMushroomBody
Evolve nushroom body,mushroomBodyEvolves
Can’t evolve mushroom body,mushroomBodyCantEvolve
Grow mushroom body,growMushroomBody
Can’t grow mushroom body,cantGrowMushroomBody
Grow mycelium,growMycelium
Can’t grow mycelium,cantGrowMycelium
Spread spores,spreadSpores
Spread spores - body withers, spreadSporesWither
